spell_a,spell_b,winrate_pct,n,vs_solo_avg_pct
harpoon,brute,73.8,3384,14.5
attack,harpoon,71.3,5503,13.3
harpoon,blocker,69.0,3382,11.4
harpoon,bulwark,68.7,5459,7.1
harpoon,invisible,67.6,3978,8.4
bulwark,invisible,67.5,2538,9.7
poison,harpoon,67.3,3990,9.8
poison,bulwark,65.5,3991,9.5
knockback,harpoon,65.4,5537,8.4
attack,bulwark,65.0,5402,8.5
knockback,bulwark,64.5,5423,8.8
knockback,invisible,62.3,3967,9.1
invisible,brute,62.2,1803,6.7
bulwark,brute,62.1,2295,4.2
harpoon,mend,60.6,4006,6.2
attack,invisible,60.1,3940,5.9
blocker,brute,59.9,806,6.1
fireball,harpoon,58.9,5517,4.9
poison,brute,58.8,2310,5.0
bulwark,mend,58.7,2523,5.7
bulwark,glyph,58.6,2522,7.1
poison,invisible,58.5,2850,4.8
harpoon,glyph,58.5,3917,5.5
harpoon,portal,58.5,3962,5.5
harpoon,shelter,58.0,3963,4.2
harpoon,bomb,57.9,3955,5.2
harpoon,rewind,57.7,4074,4.8
healer,brute,57.5,767,6.8
bulwark,portal,57.4,2544,5.8
bulwark,rewind,57.3,2520,5.9
bulwark,shelter,56.9,2464,4.5
attack,brute,56.7,3352,2.4
bulwark,bomb,56.1,2603,4.8
attack,blocker,55.8,3356,3.4
invisible,blocker,55.4,1744,1.7
poison,blocker,55.2,2371,3.3
attack,poison,55.1,3972,2.7
attack,knockback,55.0,5579,3.0
attack,fireball,54.6,5445,5.7
bulwark,healer,54.5,2321,1.5
bulwark,blocker,54.4,2336,-1.8
attack,healer,54.1,3346,4.8
fireball,bulwark,53.7,5359,1.1
knockback,brute,53.1,3293,-0.3
poison,knockback,52.9,3942,1.4
harpoon,healer,52.3,3310,-2.1
invisible,healer,52.2,1813,1.6
fireball,poison,51.7,4009,3.2
mend,invisible,51.6,2074,1.0
shelter,blocker,51.5,1803,3.2
mend,brute,51.5,1776,0.8
mend,blocker,51.4,1844,2.5
poison,healer,51.2,2220,2.3
fireball,knockback,50.9,5400,2.8
shelter,brute,50.6,1767,0.5
knockback,blocker,50.3,3441,-1.3
glyph,brute,50.1,1723,0.9
invisible,glyph,49.9,2027,0.7
invisible,bomb,49.9,2116,0.9
invisible,portal,49.3,2071,0.1
poison,mend,49.1,2901,0.3
shelter,invisible,48.9,2089,-1.1
bomb,brute,48.9,1787,-0.2
portal,brute,48.8,1818,-0.4
fireball,brute,48.7,3306,-1.6
rewind,brute,48.5,1788,-0.7
attack,shelter,48.4,3958,-0.3
invisible,rewind,48.2,2103,-0.9
attack,mend,48.1,3925,-1.2
fireball,invisible,47.7,3995,-2.5
attack,glyph,47.5,3955,-0.4
attack,portal,47.4,3934,-0.4
knockback,shelter,47.4,4035,-0.5
knockback,healer,47.3,3360,-1.2
attack,rewind,47.1,4058,-0.6
glyph,blocker,46.7,1830,-0.8
bomb,blocker,46.4,1778,-0.8
knockback,mend,46.3,3992,-2.1
attack,bomb,45.8,4031,-1.8
blocker,healer,45.2,797,-3.7
portal,blocker,45.1,1780,-2.4
knockback,rewind,44.8,3966,-2.2
rewind,blocker,44.7,1869,-2.7
knockback,bomb,44.1,3899,-2.7
fireball,blocker,43.9,3343,-4.5
poison,portal,43.9,2806,-3.4
knockback,glyph,43.5,3993,-3.5
poison,shelter,43.5,2810,-4.7
knockback,portal,43.5,3961,-3.5
poison,rewind,43.4,2874,-3.9
poison,glyph,43.0,2840,-4.4
poison,bomb,43.0,2910,-4.1
shelter,healer,40.8,1747,-4.4
fireball,mend,40.7,3883,-4.7
mend,shelter,40.3,2069,-4.8
mend,healer,39.9,1850,-5.9
rewind,healer,39.6,1820,-4.7
portal,healer,38.6,1766,-5.7
fireball,rewind,38.5,3933,-5.3
fireball,shelter,38.5,4036,-6.2
fireball,glyph,38.4,3947,-5.6
fireball,healer,38.3,3346,-7.0
fireball,bomb,38.0,4026,-5.7
mend,portal,37.8,2076,-6.5
mend,rewind,37.4,2052,-6.8
bomb,healer,37.2,1735,-6.9
fireball,portal,37.1,3934,-6.8
mend,glyph,37.0,2100,-7.3
glyph,healer,36.9,1789,-7.4
shelter,rewind,36.7,2074,-6.9
shelter,bomb,36.4,2130,-7.1
mend,bomb,36.3,2182,-7.7
shelter,portal,36.3,2125,-7.3
shelter,glyph,35.8,2151,-7.9
portal,glyph,33.8,1978,-9.0
portal,bomb,33.8,2109,-8.9
glyph,rewind,33.2,2074,-9.6
glyph,bomb,32.6,2085,-10.1
portal,rewind,32.6,2110,-10.2
rewind,bomb,31.4,2092,-11.2
